Item ID,Item Name,Sales Description,Selling Price,Sales Account,Is Returnable Item,Brand,Manufacturer,Package Weight,Package Length,Package Width,Package Height,Dimension Unit,Weight Unit,Tax Name,Tax Percentage,Tax Type,Purchase Tax Name,Purchase Tax Percentage,Purchase Tax Type,Product Type,Source,Reference ID,Last Sync Time,Status,Unit,SKU,UPC,EAN,ISBN,Part Number,Purchase Price,Purchase Account,Purchase Description,Inventory Account,Reorder Level,Preferred Vendor,Warehouse Name,Opening Stock,Opening Stock Value,Stock On Hand,Is Combo Product,Item Type,Category Name,Activity,Area,Location,Non taxable concepts,Cost Analysis,Events
1526770000002969435,Sr Developer (Hourly),,ARS 2625.00,Foreign Sales reclasificar y eliminar,false,,,0.00,0.00,0.00,0.00,,,,,,,,,service,2,,,Active,hs,,,,,,ARS 0.00,,,,,,,,,,false,Sales,,,,,,,
1526770000002969453,Sr React Engineer / Architect,,ARS 3375.00,Sales,false,,,0.00,0.00,0.00,0.00,,,,,,,,,goods,2,,,Active,hs,,,,,,ARS 0.00,,,,,,,,,,false,Sales,,,,,,,
1526770000002969462,React Engineer,,ARS 3000.00,Sales,false,,,0.00,0.00,0.00,0.00,,,,,,,,,goods,2,,,Active,hs,,,,,,ARS 0.00,,,,,,,,,,false,Sales,,,,,,,
1526770000002969471,Tech Lead / Architect (Hourly),,ARS 3375.00,Foreign Sales reclasificar y eliminar,false,,,0.00,0.00,0.00,0.00,,,,,,,,,service,2,,,Active,hs,,,,,,ARS 0.00,,,,,,,,,,false,Sales,,,,,,,
1526770000002969480,Sr React Native Engineer,,ARS 3000.00,Foreign Sales reclasificar y eliminar,false,,,0.00,0.00,0.00,0.00,,,,,,,,,service,2,,,Active,hs,,,,,,ARS 0.00,,,,,,,,,,false,Sales,,,,,,,
1526770000002969489,SSr BackEnd Developer,,ARS 2250.00,Sales,false,,,0.00,0.00,0.00,0.00,,,,,,,,,service,2,,,Active,hs,,,,,,ARS 0.00,,,,,,,,,,false,Sales,,,,,,,
1526770000002969498,Sr QA Analyst (Monthly),,ARS 360000.00,Development sales QA,false,,,0.00,0.00,0.00,0.00,,,,,,,,,service,2,,,Active,un,,,,,,ARS 0.00,,,,,,,,,,false,Sales,,,,,,,
1526770000002969507,SSr Resource (Monthly),,ARS 292500.00,Sales,false,,,0.00,0.00,0.00,0.00,,,,,,,,,service,2,,,Active,un,,,,,,ARS 0.00,,,,,,,,,,false,Sales,,,,,,,
1526770000002969516,Sr Developer (Monthly),,ARS 360000.00,Sales,false,,,0.00,0.00,0.00,0.00,,,,,,,,,service,2,,,Active,un,,,,,,ARS 0.00,,,,,,,,,,false,Sales,,,,,,,
1526770000002969525,QA Analyst Jr (Hourly),,ARS 1350.00,Sales,false,,,0.00,0.00,0.00,0.00,,,,,,,,,service,2,,,Active,hs,,,,,,ARS 0.00,,,,,,,,,,false,Sales,,,,,,,
